instancia,artista,t_lineal,t_binaria
0,Artista_0,0.015625,0.0
0,Artista_40,0.046875,0.0
0,Artista_81,0.046875,0.0
0,Artista_122,0.046875,0.0
0,Artista_162,0.03125,0.0
1,Artista_0,0.015625,0.015625
1,Artista_40,0.03125,0.015625
1,Artista_81,0.03125,0.0
1,Artista_122,0.046875,0.0
1,Artista_162,0.03125,0.0
2,Artista_0,0.03125,0.0
2,Artista_40,0.046875,0.0
2,Artista_81,0.046875,0.0
2,Artista_122,0.046875,0.0
2,Artista_162,0.046875,0.0
3,Artista_0,0.03125,0.0
3,Artista_40,0.046875,0.0
3,Artista_81,0.046875,0.0
3,Artista_122,0.046875,0.0
3,Artista_162,0.046875,0.0
4,Artista_0,0.03125,0.0
4,Artista_40,0.046875,0.0
4,Artista_81,0.046875,0.0
4,Artista_122,0.046875,0.0
4,Artista_162,0.046875,0.0
5,Artista_0,0.03125,0.0
5,Artista_40,0.046875,0.0
5,Artista_81,0.0625,0.0
5,Artista_122,0.046875,0.0
5,Artista_162,0.03125,0.0
6,Artista_0,0.015625,0.0
6,Artista_40,0.046875,0.015625
6,Artista_81,0.03125,0.0
6,Artista_122,0.046875,0.0
6,Artista_162,0.03125,0.015625
7,Artista_0,0.015625,0.0
7,Artista_40,0.046875,0.0
7,Artista_81,0.046875,0.0
7,Artista_122,0.046875,0.0
7,Artista_162,0.046875,0.0
8,Artista_0,0.03125,0.0
8,Artista_40,0.046875,0.0
8,Artista_81,0.046875,0.0
8,Artista_122,0.046875,0.0
8,Artista_162,0.046875,0.0
9,Artista_0,0.015625,0.0
9,Artista_40,0.03125,0.0
9,Artista_81,0.046875,0.0
9,Artista_122,0.046875,0.0
9,Artista_162,0.03125,0.0
10,Artista_0,0.015625,0.0
10,Artista_40,0.046875,0.0
10,Artista_81,0.046875,0.0
10,Artista_122,0.03125,0.0
10,Artista_162,0.03125,0.015625
11,Artista_0,0.015625,0.0
11,Artista_40,0.046875,0.0
11,Artista_81,0.03125,0.0
11,Artista_122,0.046875,0.0
11,Artista_162,0.03125,0.015625
12,Artista_0,0.015625,0.0
12,Artista_40,0.046875,0.0
12,Artista_81,0.046875,0.015625
12,Artista_122,0.03125,0.0
12,Artista_162,0.03125,0.0
13,Artista_0,0.03125,0.0
13,Artista_40,0.046875,0.0
13,Artista_81,0.046875,0.0
13,Artista_122,0.046875,0.0
13,Artista_162,0.046875,0.0
14,Artista_0,0.03125,0.0
14,Artista_40,0.046875,0.0
14,Artista_81,0.046875,0.0
14,Artista_122,0.046875,0.0
14,Artista_162,0.046875,0.0
15,Artista_0,0.03125,0.0
15,Artista_40,0.03125,0.0
15,Artista_81,0.046875,0.0
15,Artista_122,0.046875,0.015625
15,Artista_162,0.03125,0.015625
16,Artista_0,0.015625,0.0
16,Artista_40,0.046875,0.0
16,Artista_81,0.046875,0.015625
16,Artista_122,0.03125,0.0
16,Artista_162,0.046875,0.0
17,Artista_0,0.03125,0.0
17,Artista_40,0.046875,0.0
17,Artista_81,0.046875,0.0
17,Artista_122,0.046875,0.0
17,Artista_162,0.046875,0.0
18,Artista_0,0.03125,0.0
18,Artista_40,0.046875,0.0
18,Artista_81,0.046875,0.0
18,Artista_122,0.046875,0.0
18,Artista_162,0.046875,0.0
19,Artista_0,0.015625,0.0
19,Artista_40,0.046875,0.0
19,Artista_81,0.046875,0.0
19,Artista_122,0.046875,0.0
19,Artista_162,0.046875,0.015625
20,Artista_0,0.015625,0.0
20,Artista_40,0.046875,0.0
20,Artista_81,0.046875,0.0
20,Artista_122,0.046875,0.0
20,Artista_162,0.03125,0.015625
21,Artista_0,0.015625,0.0
21,Artista_40,0.046875,0.0
21,Artista_81,0.03125,0.0
21,Artista_122,0.046875,0.0
21,Artista_162,0.03125,0.0
22,Artista_0,0.03125,0.0
22,Artista_40,0.046875,0.0
22,Artista_81,0.046875,0.0
22,Artista_122,0.046875,0.015625
22,Artista_162,0.03125,0.0
23,Artista_0,0.03125,0.0
23,Artista_40,0.046875,0.0
23,Artista_81,0.046875,0.015625
23,Artista_122,0.03125,0.0
23,Artista_162,0.03125,0.0
24,Artista_0,0.015625,0.0
24,Artista_40,0.046875,0.0
24,Artista_81,0.046875,0.015625
24,Artista_122,0.046875,0.0
24,Artista_162,0.03125,0.0
25,Artista_0,0.03125,0.0
25,Artista_40,0.046875,0.015625
25,Artista_81,0.03125,0.0
25,Artista_122,0.03125,0.0
25,Artista_162,0.03125,0.0
26,Artista_0,0.03125,0.0
26,Artista_40,0.046875,0.0
26,Artista_81,0.046875,0.0
26,Artista_122,0.046875,0.015625
26,Artista_162,0.03125,0.0
27,Artista_0,0.03125,0.0
27,Artista_40,0.046875,0.0
27,Artista_81,0.046875,0.0
27,Artista_122,0.046875,0.0
27,Artista_162,0.046875,0.0
28,Artista_0,0.03125,0.0
28,Artista_40,0.046875,0.0
28,Artista_81,0.046875,0.0
28,Artista_122,0.046875,0.0
28,Artista_162,0.046875,0.0
29,Artista_0,0.03125,0.0
29,Artista_40,0.046875,0.0
29,Artista_81,0.046875,0.0
29,Artista_122,0.046875,0.0
29,Artista_162,0.046875,0.0
30,Artista_0,0.03125,0.0
30,Artista_40,0.046875,0.0
30,Artista_81,0.046875,0.0
30,Artista_122,0.046875,0.0
30,Artista_162,0.046875,0.0
31,Artista_0,0.03125,0.0
31,Artista_40,0.046875,0.0
31,Artista_81,0.046875,0.0
31,Artista_122,0.046875,0.0
31,Artista_162,0.0625,0.0
32,Artista_0,0.03125,0.0
32,Artista_40,0.046875,0.0
32,Artista_81,0.046875,0.0
32,Artista_122,0.046875,0.0
32,Artista_162,0.03125,0.0
33,Artista_0,0.03125,0.0
33,Artista_40,0.046875,0.0
33,Artista_81,0.046875,0.0
33,Artista_122,0.046875,0.0
33,Artista_162,0.046875,0.0
34,Artista_0,0.03125,0.0
34,Artista_40,0.046875,0.0
34,Artista_81,0.046875,0.0
34,Artista_122,0.046875,0.0
34,Artista_162,0.03125,0.0
35,Artista_0,0.03125,0.0
35,Artista_40,0.046875,0.0
35,Artista_81,0.046875,0.0
35,Artista_122,0.046875,0.0
35,Artista_162,0.046875,0.0
36,Artista_0,0.03125,0.0
36,Artista_40,0.046875,0.0
36,Artista_81,0.046875,0.0
36,Artista_122,0.046875,0.0
36,Artista_162,0.046875,0.0
37,Artista_0,0.03125,0.0
37,Artista_40,0.046875,0.0
37,Artista_81,0.046875,0.0
37,Artista_122,0.046875,0.0
37,Artista_162,0.046875,0.0
38,Artista_0,0.03125,0.0
38,Artista_40,0.046875,0.0
38,Artista_81,0.046875,0.0
38,Artista_122,0.046875,0.0
38,Artista_162,0.046875,0.0
39,Artista_0,0.03125,0.0
39,Artista_40,0.046875,0.0
39,Artista_81,0.0625,0.0
39,Artista_122,0.046875,0.0
39,Artista_162,0.046875,0.0
40,Artista_0,0.03125,0.0
40,Artista_40,0.046875,0.0
40,Artista_81,0.046875,0.0
40,Artista_122,0.046875,0.0
40,Artista_162,0.046875,0.0
41,Artista_0,0.03125,0.0
41,Artista_40,0.046875,0.0
41,Artista_81,0.046875,0.0
41,Artista_122,0.046875,0.0
41,Artista_162,0.046875,0.0
42,Artista_0,0.015625,0.0
42,Artista_40,0.046875,0.0
42,Artista_81,0.046875,0.0
42,Artista_122,0.046875,0.0
42,Artista_162,0.03125,0.0
43,Artista_0,0.015625,0.015625
43,Artista_40,0.03125,0.015625
43,Artista_81,0.046875,0.0
43,Artista_122,0.046875,0.0
43,Artista_162,0.03125,0.0
44,Artista_0,0.03125,0.0
44,Artista_40,0.046875,0.0
44,Artista_81,0.046875,0.0
44,Artista_122,0.046875,0.015625
44,Artista_162,0.03125,0.0
45,Artista_0,0.03125,0.0
45,Artista_40,0.046875,0.0
45,Artista_81,0.046875,0.0
45,Artista_122,0.046875,0.015625
45,Artista_162,0.03125,0.0
46,Artista_0,0.03125,0.0
46,Artista_40,0.046875,0.0
46,Artista_81,0.046875,0.0
46,Artista_122,0.046875,0.0
46,Artista_162,0.046875,0.0
47,Artista_0,0.03125,0.0
47,Artista_40,0.046875,0.0
47,Artista_81,0.0625,0.0
47,Artista_122,0.0625,0.0
47,Artista_162,0.046875,0.0
48,Artista_0,0.03125,0.0
48,Artista_40,0.046875,0.0
48,Artista_81,0.046875,0.0
48,Artista_122,0.046875,0.0
48,Artista_162,0.046875,0.0
49,Artista_0,0.03125,0.0
