instancia,artista,t_lineal,t_binaria
0,Artista_0,0.0,0.0
0,Artista_10,0.015625,0.0
0,Artista_20,0.0,0.0
0,Artista_30,0.015625,0.0
0,Artista_39,0.015625,0.0
1,Artista_0,0.0,0.0
1,Artista_10,0.015625,0.0
1,Artista_20,0.015625,0.0
1,Artista_30,0.0,0.0
1,Artista_39,0.015625,0.0
2,Artista_0,0.0,0.0
2,Artista_10,0.015625,0.0
2,Artista_20,0.015625,0.0
2,Artista_30,0.0,0.0
2,Artista_39,0.015625,0.0
3,Artista_0,0.0,0.0
3,Artista_10,0.015625,0.0
3,Artista_20,0.015625,0.0
3,Artista_30,0.0,0.0
3,Artista_39,0.015625,0.0
4,Artista_0,0.015625,0.0
4,Artista_10,0.0,0.0
4,Artista_20,0.015625,0.0
4,Artista_30,0.0,0.015625
4,Artista_39,0.0,0.0
5,Artista_0,0.015625,0.0
5,Artista_10,0.0,0.0
5,Artista_20,0.015625,0.0
5,Artista_30,0.015625,0.0
5,Artista_39,0.0,0.0
6,Artista_0,0.015625,0.0
6,Artista_10,0.0,0.0
6,Artista_20,0.015625,0.0
6,Artista_30,0.015625,0.0
6,Artista_39,0.0,0.0
7,Artista_0,0.015625,0.0
7,Artista_10,0.015625,0.0
7,Artista_20,0.0,0.0
7,Artista_30,0.015625,0.0
7,Artista_39,0.015625,0.0
8,Artista_0,0.0,0.0
8,Artista_10,0.015625,0.0
8,Artista_20,0.0,0.0
8,Artista_30,0.015625,0.0
8,Artista_39,0.015625,0.0
9,Artista_0,0.0,0.0
9,Artista_10,0.015625,0.0
9,Artista_20,0.0,0.0
9,Artista_30,0.015625,0.0
9,Artista_39,0.015625,0.0
10,Artista_0,0.0,0.0
10,Artista_10,0.015625,0.0
10,Artista_20,0.0,0.0
10,Artista_30,0.015625,0.0
10,Artista_39,0.015625,0.0
11,Artista_0,0.0,0.0
11,Artista_10,0.0,0.0
11,Artista_20,0.015625,0.0
11,Artista_30,0.0,0.015625
11,Artista_39,0.0,0.0
12,Artista_0,0.015625,0.0
12,Artista_10,0.0,0.0
12,Artista_20,0.015625,0.0
12,Artista_30,0.015625,0.0
12,Artista_39,0.0,0.0
13,Artista_0,0.015625,0.0
13,Artista_10,0.0,0.0
13,Artista_20,0.015625,0.0
13,Artista_30,0.015625,0.0
13,Artista_39,0.0,0.0
14,Artista_0,0.015625,0.0
14,Artista_10,0.015625,0.0
14,Artista_20,0.0,0.0
14,Artista_30,0.015625,0.0
14,Artista_39,0.0,0.0
15,Artista_0,0.015625,0.0
15,Artista_10,0.015625,0.0
15,Artista_20,0.0,0.0
15,Artista_30,0.015625,0.0
15,Artista_39,0.0,0.0
16,Artista_0,0.0,0.0
16,Artista_10,0.015625,0.0
16,Artista_20,0.0,0.0
16,Artista_30,0.015625,0.0
16,Artista_39,0.015625,0.0
17,Artista_0,0.0,0.0
17,Artista_10,0.015625,0.0
17,Artista_20,0.0,0.0
17,Artista_30,0.015625,0.0
17,Artista_39,0.015625,0.0
18,Artista_0,0.0,0.0
18,Artista_10,0.015625,0.0
18,Artista_20,0.015625,0.0
18,Artista_30,0.0,0.0
18,Artista_39,0.015625,0.0
19,Artista_0,0.0,0.0
19,Artista_10,0.015625,0.0
19,Artista_20,0.015625,0.0
19,Artista_30,0.0,0.0
19,Artista_39,0.015625,0.0
20,Artista_0,0.0,0.015625
20,Artista_10,0.0,0.0
20,Artista_20,0.015625,0.0
20,Artista_30,0.0,0.0
20,Artista_39,0.015625,0.0
21,Artista_0,0.015625,0.0
21,Artista_10,0.0,0.0
21,Artista_20,0.015625,0.0
21,Artista_30,0.0,0.0
21,Artista_39,0.0,0.0
22,Artista_0,0.015625,0.0
22,Artista_10,0.0,0.0
22,Artista_20,0.015625,0.0
22,Artista_30,0.015625,0.0
22,Artista_39,0.0,0.0
23,Artista_0,0.015625,0.0
23,Artista_10,0.0,0.015625
23,Artista_20,0.0,0.0
23,Artista_30,0.015625,0.0
23,Artista_39,0.0,0.0
24,Artista_0,0.0,0.0
24,Artista_10,0.015625,0.0
24,Artista_20,0.0,0.0
24,Artista_30,0.015625,0.0
24,Artista_39,0.015625,0.0
25,Artista_0,0.0,0.0
25,Artista_10,0.015625,0.0
25,Artista_20,0.0,0.0
25,Artista_30,0.015625,0.0
25,Artista_39,0.015625,0.0
26,Artista_0,0.0,0.0
26,Artista_10,0.015625,0.0
26,Artista_20,0.0,0.0
26,Artista_30,0.015625,0.0
26,Artista_39,0.015625,0.0
27,Artista_0,0.0,0.0
27,Artista_10,0.015625,0.0
27,Artista_20,0.015625,0.0
27,Artista_30,0.0,0.0
27,Artista_39,0.015625,0.0
28,Artista_0,0.0,0.0
28,Artista_10,0.015625,0.0
28,Artista_20,0.015625,0.0
28,Artista_30,0.015625,0.0
28,Artista_39,0.015625,0.0
29,Artista_0,0.0,0.0
29,Artista_10,0.015625,0.0
29,Artista_20,0.0,0.0
29,Artista_30,0.015625,0.0
29,Artista_39,0.015625,0.0
30,Artista_0,0.0,0.0
30,Artista_10,0.015625,0.0
30,Artista_20,0.015625,0.0
30,Artista_30,0.0,0.0
30,Artista_39,0.015625,0.0
31,Artista_0,0.0,0.0
31,Artista_10,0.015625,0.0
31,Artista_20,0.015625,0.0
31,Artista_30,0.0,0.0
31,Artista_39,0.015625,0.0
32,Artista_0,0.015625,0.0
32,Artista_10,0.0,0.0
32,Artista_20,0.015625,0.0
32,Artista_30,0.0,0.0
32,Artista_39,0.0,0.0
33,Artista_0,0.015625,0.0
33,Artista_10,0.0,0.0
33,Artista_20,0.015625,0.0
33,Artista_30,0.015625,0.0
33,Artista_39,0.0,0.0
34,Artista_0,0.015625,0.0
34,Artista_10,0.015625,0.0
34,Artista_20,0.0,0.0
34,Artista_30,0.015625,0.0
34,Artista_39,0.0,0.0
35,Artista_0,0.015625,0.0
35,Artista_10,0.015625,0.0
35,Artista_20,0.0,0.0
35,Artista_30,0.015625,0.0
35,Artista_39,0.015625,0.0
36,Artista_0,0.0,0.0
36,Artista_10,0.015625,0.0
36,Artista_20,0.0,0.0
36,Artista_30,0.015625,0.0
36,Artista_39,0.015625,0.0
37,Artista_0,0.0,0.0
37,Artista_10,0.015625,0.0
37,Artista_20,0.0,0.015625
37,Artista_30,0.0,0.0
37,Artista_39,0.015625,0.0
38,Artista_0,0.0,0.0
38,Artista_10,0.015625,0.0
38,Artista_20,0.015625,0.0
38,Artista_30,0.0,0.0
38,Artista_39,0.015625,0.0
39,Artista_0,0.0,0.0
39,Artista_10,0.015625,0.0
39,Artista_20,0.015625,0.0
39,Artista_30,0.0,0.0
39,Artista_39,0.015625,0.0
40,Artista_0,0.0,0.0
40,Artista_10,0.015625,0.0
40,Artista_20,0.015625,0.0
40,Artista_30,0.0,0.0
40,Artista_39,0.015625,0.0
41,Artista_0,0.015625,0.0
41,Artista_10,0.0,0.0
41,Artista_20,0.015625,0.0
41,Artista_30,0.015625,0.0
41,Artista_39,0.0,0.0
42,Artista_0,0.015625,0.0
42,Artista_10,0.0,0.0
42,Artista_20,0.015625,0.0
42,Artista_30,0.015625,0.0
42,Artista_39,0.0,0.0
43,Artista_0,0.015625,0.0
43,Artista_10,0.0,0.0
43,Artista_20,0.015625,0.0
43,Artista_30,0.015625,0.0
43,Artista_39,0.0,0.0
44,Artista_0,0.015625,0.0
44,Artista_10,0.0,0.0
44,Artista_20,0.015625,0.0
44,Artista_30,0.015625,0.0
44,Artista_39,0.0,0.015625
45,Artista_0,0.0,0.0
45,Artista_10,0.015625,0.0
45,Artista_20,0.0,0.0
45,Artista_30,0.015625,0.0
45,Artista_39,0.0,0.0
46,Artista_0,0.0,0.0
46,Artista_10,0.015625,0.0
46,Artista_20,0.0,0.0
46,Artista_30,0.0,0.0
46,Artista_39,0.015625,0.0
47,Artista_0,0.0,0.0
47,Artista_10,0.015625,0.0
47,Artista_20,0.0,0.0
47,Artista_30,0.015625,0.0
47,Artista_39,0.015625,0.0
48,Artista_0,0.0,0.0
48,Artista_10,0.015625,0.0
48,Artista_20,0.015625,0.0
48,Artista_30,0.0,0.0
48,Artista_39,0.015625,0.0
49,Artista_0,0.0,0.0
49,Artista_10,0.015625,0.0
49,Artista_20,0.015625,0.0
49,Artista_30,0.0,0.0
49,Artista_39,0.015625,0.0
50,Artista_0,0.0,0.0
50,Artista_10,0.015625,0.0
50,Artista_20,0.015625,0.0
50,Artista_30,0.0,0.015625
50,Artista_39,0.0,0.0
51,Artista_0,0.015625,0.0
51,Artista_10,0.0,0.0
51,Artista_20,0.015625,0.0
51,Artista_30,0.015625,0.0
51,Artista_39,0.0,0.0
52,Artista_0,0.015625,0.0
52,Artista_10,0.015625,0.0
52,Artista_20,0.0,0.0
52,Artista_30,0.015625,0.0
52,Artista_39,0.0,0.0
53,Artista_0,0.0,0.0
53,Artista_10,0.015625,0.0
53,Artista_20,0.0,0.0
53,Artista_30,0.015625,0.0
53,Artista_39,0.0,0.015625
54,Artista_0,0.0,0.0
54,Artista_10,0.015625,0.0
54,Artista_20,0.0,0.0
54,Artista_30,0.015625,0.0
54,Artista_39,0.015625,0.0
55,Artista_0,0.0,0.0
55,Artista_10,0.015625,0.0
55,Artista_20,0.015625,0.0
55,Artista_30,0.0,0.0
55,Artista_39,0.015625,0.0
56,Artista_0,0.0,0.0
56,Artista_10,0.015625,0.0
56,Artista_20,0.0,0.0
56,Artista_30,0.015625,0.0
56,Artista_39,0.0,0.0
57,Artista_0,0.015625,0.0
57,Artista_10,0.015625,0.0
57,Artista_20,0.0,0.0
57,Artista_30,0.015625,0.0
57,Artista_39,0.0,0.015625
58,Artista_0,0.0,0.0
58,Artista_10,0.015625,0.0
58,Artista_20,0.0,0.0
58,Artista_30,0.015625,0.0
58,Artista_39,0.015625,0.0
59,Artista_0,0.0,0.0
59,Artista_10,0.015625,0.0
59,Artista_20,0.0,0.0
59,Artista_30,0.015625,0.0
59,Artista_39,0.015625,0.0
60,Artista_0,0.0,0.0
60,Artista_10,0.015625,0.0
60,Artista_20,0.015625,0.0
60,Artista_30,0.0,0.0
60,Artista_39,0.015625,0.0
61,Artista_0,0.0,0.0
61,Artista_10,0.015625,0.0
61,Artista_20,0.015625,0.0
61,Artista_30,0.0,0.0
61,Artista_39,0.015625,0.0
62,Artista_0,0.0,0.0
62,Artista_10,0.015625,0.0
62,Artista_20,0.015625,0.0
62,Artista_30,0.0,0.0
62,Artista_39,0.015625,0.0
63,Artista_0,0.015625,0.0
63,Artista_10,0.0,0.0
63,Artista_20,0.015625,0.0
63,Artista_30,0.015625,0.0
63,Artista_39,0.0,0.0
64,Artista_0,0.015625,0.0
64,Artista_10,0.0,0.0
64,Artista_20,0.015625,0.0
64,Artista_30,0.015625,0.0
64,Artista_39,0.0,0.0
65,Artista_0,0.015625,0.0
65,Artista_10,0.0,0.015625
65,Artista_20,0.0,0.0
65,Artista_30,0.015625,0.0
65,Artista_39,0.0,0.0
66,Artista_0,0.015625,0.0
66,Artista_10,0.015625,0.0
66,Artista_20,0.0,0.0
66,Artista_30,0.015625,0.0
66,Artista_39,0.015625,0.0
67,Artista_0,0.0,0.0
67,Artista_10,0.015625,0.0
67,Artista_20,0.0,0.0
67,Artista_30,0.0,0.0
67,Artista_39,0.015625,0.0
68,Artista_0,0.0,0.0
68,Artista_10,0.015625,0.0
68,Artista_20,0.015625,0.0
68,Artista_30,0.0,0.0
68,Artista_39,0.015625,0.0
69,Artista_0,0.015625,0.0
69,Artista_10,0.0,0.0
69,Artista_20,0.015625,0.0
69,Artista_30,0.015625,0.0
69,Artista_39,0.0,0.0
70,Artista_0,0.015625,0.0
70,Artista_10,0.015625,0.0
70,Artista_20,0.0,0.0
70,Artista_30,0.015625,0.0
70,Artista_39,0.015625,0.0
71,Artista_0,0.0,0.0
71,Artista_10,0.015625,0.0
71,Artista_20,0.0,0.0
71,Artista_30,0.0,0.0
71,Artista_39,0.015625,0.0
72,Artista_0,0.015625,0.0
72,Artista_10,0.0,0.0
72,Artista_20,0.015625,0.0
72,Artista_30,0.015625,0.0
72,Artista_39,0.0,0.0
73,Artista_0,0.015625,0.0
73,Artista_10,0.015625,0.0
73,Artista_20,0.0,0.0
73,Artista_30,0.015625,0.0
73,Artista_39,0.015625,0.0
74,Artista_0,0.0,0.0
74,Artista_10,0.015625,0.0
74,Artista_20,0.0,0.0
74,Artista_30,0.015625,0.0
74,Artista_39,0.015625,0.0
75,Artista_0,0.0,0.0
75,Artista_10,0.015625,0.0
75,Artista_20,0.0,0.015625
75,Artista_30,0.0,0.0
75,Artista_39,0.015625,0.0
76,Artista_0,0.0,0.0
76,Artista_10,0.015625,0.0
76,Artista_20,0.015625,0.0
76,Artista_30,0.0,0.0
76,Artista_39,0.015625,0.0
77,Artista_0,0.015625,0.0
77,Artista_10,0.0,0.0
77,Artista_20,0.015625,0.0
77,Artista_30,0.0,0.0
77,Artista_39,0.015625,0.0
78,Artista_0,0.0,0.015625
