instancia,artista,t_lineal,t_binaria
37,Artista_327,0.375,0.0
37,Artista_491,0.359375,0.0
37,Artista_654,0.421875,0.0
38,Artista_0,0.40625,0.0
38,Artista_163,0.46875,0.0
38,Artista_327,0.40625,0.0
38,Artista_491,0.484375,0.0
38,Artista_654,0.359375,0.0
39,Artista_0,0.203125,0.0
39,Artista_163,0.296875,0.0
39,Artista_327,0.34375,0.0
39,Artista_491,0.359375,0.0
39,Artista_654,0.359375,0.0
40,Artista_0,0.28125,0.0
40,Artista_163,0.296875,0.0
40,Artista_327,0.28125,0.0
40,Artista_491,0.3125,0.0
40,Artista_654,0.34375,0.0
41,Artista_0,0.3125,0.0
41,Artista_163,0.359375,0.0
41,Artista_327,0.375,0.0
41,Artista_491,0.375,0.0
41,Artista_654,0.375,0.0
42,Artista_0,0.296875,0.0
42,Artista_163,0.328125,0.0
42,Artista_327,0.359375,0.015625
42,Artista_491,0.328125,0.0
42,Artista_654,0.3125,0.0
43,Artista_0,0.234375,0.0
43,Artista_163,0.296875,0.0
43,Artista_327,0.265625,0.0
43,Artista_491,0.3125,0.0
43,Artista_654,0.359375,0.0
44,Artista_0,0.25,0.0
44,Artista_163,0.328125,0.0
44,Artista_327,0.34375,0.0
44,Artista_491,0.328125,0.0
44,Artista_654,0.3125,0.0
45,Artista_0,0.296875,0.0
45,Artista_163,0.375,0.0
45,Artista_327,0.359375,0.0
45,Artista_491,0.375,0.0
45,Artista_654,0.359375,0.0
46,Artista_0,0.265625,0.0
46,Artista_163,0.359375,0.0
46,Artista_327,0.359375,0.0
46,Artista_491,0.328125,0.0
46,Artista_654,0.359375,0.0
47,Artista_0,0.34375,0.0
47,Artista_163,0.4375,0.0
47,Artista_327,0.40625,0.0
47,Artista_491,0.390625,0.0
47,Artista_654,0.421875,0.0
48,Artista_0,0.34375,0.0
48,Artista_163,0.34375,0.0
48,Artista_327,0.34375,0.0
48,Artista_491,0.375,0.0
48,Artista_654,0.34375,0.0
49,Artista_0,0.296875,0.0
49,Artista_163,0.359375,0.0
49,Artista_327,0.359375,0.0
49,Artista_491,0.359375,0.0
49,Artista_654,0.328125,0.0
50,Artista_0,0.3125,0.0
50,Artista_163,0.359375,0.0
50,Artista_327,0.453125,0.0
50,Artista_491,0.4375,0.0
50,Artista_654,0.28125,0.0
51,Artista_0,0.1875,0.0
51,Artista_163,0.296875,0.0
51,Artista_327,0.28125,0.0
51,Artista_491,0.296875,0.0
51,Artista_654,0.28125,0.0
52,Artista_0,0.234375,0.0
52,Artista_163,0.34375,0.0
52,Artista_327,0.375,0.0
52,Artista_491,0.359375,0.0
52,Artista_654,0.390625,0.0
53,Artista_0,0.296875,0.0
53,Artista_163,0.34375,0.0
53,Artista_327,0.359375,0.0
53,Artista_491,0.34375,0.0
53,Artista_654,0.328125,0.0
54,Artista_0,0.25,0.0
54,Artista_163,0.34375,0.0
54,Artista_327,0.296875,0.0
54,Artista_491,0.328125,0.0
54,Artista_654,0.328125,0.0
55,Artista_0,0.1875,0.015625
55,Artista_163,0.234375,0.0
55,Artista_327,0.328125,0.0
55,Artista_491,0.609375,0.0
55,Artista_654,0.4375,0.015625
56,Artista_0,0.203125,0.0
56,Artista_163,0.25,0.0
56,Artista_327,0.265625,0.0
56,Artista_491,0.265625,0.0
56,Artista_654,0.265625,0.0
57,Artista_0,0.1875,0.0
57,Artista_163,0.25,0.0
57,Artista_327,0.25,0.015625
57,Artista_491,0.25,0.0
57,Artista_654,0.25,0.0
58,Artista_0,0.171875,0.0
58,Artista_163,0.25,0.0
58,Artista_327,0.25,0.0
58,Artista_491,0.265625,0.015625
58,Artista_654,0.234375,0.0
59,Artista_0,0.15625,0.0
59,Artista_163,0.234375,0.015625
59,Artista_327,0.3125,0.0
59,Artista_491,0.328125,0.0
59,Artista_654,0.265625,0.0
60,Artista_0,0.171875,0.0
60,Artista_163,0.265625,0.015625
60,Artista_327,0.234375,0.0
60,Artista_491,0.3125,0.0
60,Artista_654,0.265625,0.0
61,Artista_0,0.3125,0.0
61,Artista_163,0.578125,0.0
61,Artista_327,0.4375,0.0
61,Artista_491,0.421875,0.0
61,Artista_654,0.390625,0.0
62,Artista_0,0.203125,0.0
62,Artista_163,0.25,0.0
62,Artista_327,0.25,0.0
62,Artista_491,0.234375,0.0
62,Artista_654,0.25,0.0
63,Artista_0,0.1875,0.0
63,Artista_163,0.25,0.0
63,Artista_327,0.25,0.0
63,Artista_491,0.34375,0.0
63,Artista_654,0.359375,0.0
64,Artista_0,0.296875,0.0
64,Artista_163,0.359375,0.0
64,Artista_327,0.296875,0.0
64,Artista_491,0.296875,0.0
64,Artista_654,0.265625,0.0
65,Artista_0,0.265625,0.0
65,Artista_163,0.328125,0.0
65,Artista_327,0.3125,0.0
65,Artista_491,0.34375,0.0
65,Artista_654,0.296875,0.0
66,Artista_0,0.234375,0.0
66,Artista_163,0.296875,0.0
66,Artista_327,0.359375,0.0
66,Artista_491,0.296875,0.0
66,Artista_654,0.296875,0.0
67,Artista_0,0.265625,0.0
67,Artista_163,0.28125,0.0
67,Artista_327,0.3125,0.0
67,Artista_491,0.359375,0.0
67,Artista_654,0.34375,0.0
68,Artista_0,0.21875,0.0
68,Artista_163,0.3125,0.0
68,Artista_327,0.34375,0.0
68,Artista_491,0.375,0.0
68,Artista_654,0.3125,0.0
69,Artista_0,0.296875,0.0
69,Artista_163,0.25,0.0
69,Artista_327,0.234375,0.0
69,Artista_491,0.328125,0.0
69,Artista_654,0.34375,0.0
70,Artista_0,0.3125,0.0
70,Artista_163,0.28125,0.0
70,Artista_327,0.265625,0.0
70,Artista_491,0.234375,0.0
70,Artista_654,0.25,0.0
71,Artista_0,0.140625,0.0
71,Artista_163,0.25,0.0
71,Artista_327,0.25,0.0
71,Artista_491,0.25,0.0
71,Artista_654,0.234375,0.0
72,Artista_0,0.296875,0.0
72,Artista_163,0.359375,0.0
72,Artista_327,0.34375,0.0
72,Artista_491,0.59375,0.0
72,Artista_654,0.578125,0.0
73,Artista_0,0.28125,0.0
73,Artista_163,0.328125,0.0
73,Artista_327,0.34375,0.0
73,Artista_491,0.390625,0.0
73,Artista_654,0.28125,0.0
74,Artista_0,0.25,0.0
74,Artista_163,0.296875,0.0
74,Artista_327,0.3125,0.0
74,Artista_491,0.296875,0.0
74,Artista_654,0.328125,0.0
75,Artista_0,0.296875,0.0
75,Artista_163,0.28125,0.0
75,Artista_327,0.25,0.015625
75,Artista_491,0.296875,0.015625
75,Artista_654,0.34375,0.0
76,Artista_0,0.28125,0.0
76,Artista_163,0.34375,0.0
76,Artista_327,0.3125,0.0
76,Artista_491,0.3125,0.0
76,Artista_654,0.3125,0.0
77,Artista_0,0.265625,0.0
77,Artista_163,0.34375,0.0
77,Artista_327,0.34375,0.0
77,Artista_491,0.328125,0.0
77,Artista_654,0.234375,0.0
78,Artista_0,0.203125,0.0
78,Artista_163,0.34375,0.0
78,Artista_327,0.359375,0.0
78,Artista_491,0.546875,0.0
78,Artista_654,0.484375,0.0
79,Artista_0,0.25,0.0
79,Artista_163,0.296875,0.0
79,Artista_327,0.3125,0.0
79,Artista_491,0.328125,0.0
79,Artista_654,0.3125,0.0
80,Artista_0,0.265625,0.0
80,Artista_163,0.359375,0.015625
80,Artista_327,0.3125,0.0
80,Artista_491,0.28125,0.0
80,Artista_654,0.34375,0.0
81,Artista_0,0.234375,0.0
81,Artista_163,0.296875,0.0
81,Artista_327,0.25,0.0
81,Artista_491,0.265625,0.0
81,Artista_654,0.234375,0.0
82,Artista_0,0.1875,0.0
82,Artista_163,0.296875,0.0
82,Artista_327,0.28125,0.0
82,Artista_491,0.28125,0.0
82,Artista_654,0.25,0.0
83,Artista_0,0.171875,0.0
83,Artista_163,0.359375,0.0
83,Artista_327,0.28125,0.0
83,Artista_491,0.28125,0.0
