instancia,artista,t_lineal,t_binaria
0,Artista_0,0.046875,0.0
0,Artista_81,0.109375,0.0
0,Artista_163,0.125,0.0
0,Artista_245,0.125,0.0
0,Artista_326,0.125,0.0
1,Artista_0,0.0625,0.0
1,Artista_81,0.09375,0.0
1,Artista_163,0.109375,0.0
1,Artista_245,0.09375,0.0
1,Artista_326,0.109375,0.0
2,Artista_0,0.0625,0.0
2,Artista_81,0.078125,0.0
2,Artista_163,0.109375,0.0
2,Artista_245,0.109375,0.0
2,Artista_326,0.109375,0.0
3,Artista_0,0.046875,0.0
3,Artista_81,0.09375,0.0
3,Artista_163,0.109375,0.0
3,Artista_245,0.109375,0.0
3,Artista_326,0.109375,0.0
4,Artista_0,0.0625,0.0
4,Artista_81,0.09375,0.0
4,Artista_163,0.109375,0.0
4,Artista_245,0.109375,0.0
4,Artista_326,0.109375,0.0
5,Artista_0,0.0625,0.0
5,Artista_81,0.09375,0.0
5,Artista_163,0.109375,0.0
5,Artista_245,0.109375,0.0
5,Artista_326,0.109375,0.0
6,Artista_0,0.0625,0.0
6,Artista_81,0.09375,0.0
6,Artista_163,0.109375,0.0
6,Artista_245,0.109375,0.0
6,Artista_326,0.109375,0.0
7,Artista_0,0.078125,0.0
7,Artista_81,0.109375,0.0
7,Artista_163,0.15625,0.0
7,Artista_245,0.140625,0.0
7,Artista_326,0.140625,0.0
8,Artista_0,0.0625,0.0
8,Artista_81,0.09375,0.0
8,Artista_163,0.109375,0.0
8,Artista_245,0.109375,0.0
8,Artista_326,0.109375,0.0
9,Artista_0,0.0625,0.0
9,Artista_81,0.078125,0.0
9,Artista_163,0.109375,0.0
9,Artista_245,0.109375,0.0
9,Artista_326,0.109375,0.0
10,Artista_0,0.046875,0.0
10,Artista_81,0.09375,0.0
10,Artista_163,0.109375,0.0
10,Artista_245,0.109375,0.0
10,Artista_326,0.109375,0.0
11,Artista_0,0.046875,0.0
11,Artista_81,0.078125,0.0
11,Artista_163,0.109375,0.0
11,Artista_245,0.109375,0.0
11,Artista_326,0.109375,0.0
12,Artista_0,0.046875,0.0
12,Artista_81,0.078125,0.0
12,Artista_163,0.109375,0.0
12,Artista_245,0.109375,0.0
12,Artista_326,0.109375,0.0
13,Artista_0,0.0625,0.0
13,Artista_81,0.078125,0.0
13,Artista_163,0.109375,0.0
13,Artista_245,0.109375,0.015625
13,Artista_326,0.109375,0.0
14,Artista_0,0.046875,0.0
14,Artista_81,0.078125,0.0
14,Artista_163,0.125,0.0
14,Artista_245,0.109375,0.0
14,Artista_326,0.109375,0.0
15,Artista_0,0.0625,0.0
15,Artista_81,0.09375,0.0
15,Artista_163,0.109375,0.0
15,Artista_245,0.125,0.0
15,Artista_326,0.109375,0.0
16,Artista_0,0.0625,0.0
16,Artista_81,0.09375,0.0
16,Artista_163,0.109375,0.0
16,Artista_245,0.109375,0.0
16,Artista_326,0.109375,0.015625
17,Artista_0,0.046875,0.0
17,Artista_81,0.09375,0.0
17,Artista_163,0.109375,0.0
17,Artista_245,0.109375,0.0
17,Artista_326,0.109375,0.0
18,Artista_0,0.0625,0.0
18,Artista_81,0.09375,0.0
18,Artista_163,0.125,0.0
18,Artista_245,0.109375,0.0
18,Artista_326,0.125,0.0
19,Artista_0,0.0625,0.0
19,Artista_81,0.078125,0.0
19,Artista_163,0.109375,0.0
19,Artista_245,0.109375,0.0
19,Artista_326,0.109375,0.0
20,Artista_0,0.046875,0.0
20,Artista_81,0.078125,0.0
20,Artista_163,0.109375,0.0
20,Artista_245,0.109375,0.0
20,Artista_326,0.109375,0.0
21,Artista_0,0.0625,0.0
21,Artista_81,0.078125,0.0
21,Artista_163,0.109375,0.0
21,Artista_245,0.109375,0.0
21,Artista_326,0.109375,0.0
22,Artista_0,0.046875,0.0
22,Artista_81,0.078125,0.0
22,Artista_163,0.09375,0.0
22,Artista_245,0.109375,0.0
22,Artista_326,0.125,0.0
23,Artista_0,0.046875,0.0
23,Artista_81,0.078125,0.0
23,Artista_163,0.09375,0.0
23,Artista_245,0.109375,0.0
23,Artista_326,0.109375,0.0
24,Artista_0,0.0625,0.0
24,Artista_81,0.09375,0.0
24,Artista_163,0.125,0.0
24,Artista_245,0.109375,0.0
24,Artista_326,0.109375,0.0
25,Artista_0,0.0625,0.0
25,Artista_81,0.09375,0.0
25,Artista_163,0.109375,0.0
25,Artista_245,0.125,0.0
25,Artista_326,0.125,0.0
26,Artista_0,0.046875,0.0
26,Artista_81,0.078125,0.0
26,Artista_163,0.125,0.0
26,Artista_245,0.109375,0.0
26,Artista_326,0.09375,0.0
27,Artista_0,0.046875,0.0
27,Artista_81,0.09375,0.0
27,Artista_163,0.109375,0.0
27,Artista_245,0.109375,0.0
27,Artista_326,0.109375,0.0
28,Artista_0,0.0625,0.0
28,Artista_81,0.09375,0.0
28,Artista_163,0.125,0.0
28,Artista_245,0.109375,0.0
28,Artista_326,0.109375,0.0
29,Artista_0,0.046875,0.0
29,Artista_81,0.078125,0.0
29,Artista_163,0.109375,0.0
29,Artista_245,0.109375,0.0
29,Artista_326,0.109375,0.0
30,Artista_0,0.046875,0.0
30,Artista_81,0.078125,0.0
30,Artista_163,0.109375,0.0
30,Artista_245,0.109375,0.0
30,Artista_326,0.109375,0.0
31,Artista_0,0.046875,0.0
31,Artista_81,0.078125,0.0
31,Artista_163,0.109375,0.0
31,Artista_245,0.109375,0.0
31,Artista_326,0.125,0.0
32,Artista_0,0.046875,0.0
32,Artista_81,0.09375,0.0
32,Artista_163,0.125,0.0
32,Artista_245,0.125,0.0
32,Artista_326,0.125,0.0
33,Artista_0,0.0625,0.0
33,Artista_81,0.09375,0.0
33,Artista_163,0.109375,0.0
33,Artista_245,0.109375,0.0
33,Artista_326,0.109375,0.0
34,Artista_0,0.0625,0.0
34,Artista_81,0.078125,0.0
34,Artista_163,0.125,0.0
34,Artista_245,0.109375,0.0
34,Artista_326,0.109375,0.0
35,Artista_0,0.0625,0.0
35,Artista_81,0.09375,0.0
