instancia,artista,t_lineal,t_binaria
0,Artista_0,0.015625,0.0
0,Artista_20,0.03125,0.0
0,Artista_40,0.015625,0.0
0,Artista_61,0.015625,0.0
0,Artista_80,0.03125,0.0
1,Artista_0,0.015625,0.0
1,Artista_20,0.015625,0.0
1,Artista_40,0.015625,0.0
1,Artista_61,0.03125,0.0
1,Artista_80,0.015625,0.0
2,Artista_0,0.015625,0.0
2,Artista_20,0.03125,0.0
2,Artista_40,0.015625,0.0
2,Artista_61,0.015625,0.0
2,Artista_80,0.03125,0.0
3,Artista_0,0.015625,0.0
3,Artista_20,0.015625,0.0
3,Artista_40,0.015625,0.015625
3,Artista_61,0.015625,0.0
3,Artista_80,0.015625,0.0
4,Artista_0,0.015625,0.0
4,Artista_20,0.03125,0.0
4,Artista_40,0.015625,0.0
4,Artista_61,0.015625,0.0
4,Artista_80,0.03125,0.0
5,Artista_0,0.015625,0.0
5,Artista_20,0.03125,0.0
5,Artista_40,0.015625,0.0
5,Artista_61,0.015625,0.0
5,Artista_80,0.015625,0.0
6,Artista_0,0.015625,0.0
6,Artista_20,0.015625,0.0
6,Artista_40,0.03125,0.0
6,Artista_61,0.015625,0.0
6,Artista_80,0.015625,0.0
7,Artista_0,0.0,0.0
7,Artista_20,0.015625,0.0
7,Artista_40,0.015625,0.0
7,Artista_61,0.03125,0.0
7,Artista_80,0.015625,0.0
8,Artista_0,0.015625,0.0
8,Artista_20,0.015625,0.0
8,Artista_40,0.03125,0.0
8,Artista_61,0.015625,0.0
8,Artista_80,0.015625,0.0
9,Artista_0,0.0,0.0
9,Artista_20,0.03125,0.0
9,Artista_40,0.015625,0.0
9,Artista_61,0.015625,0.0
9,Artista_80,0.015625,0.0
10,Artista_0,0.015625,0.0
10,Artista_20,0.015625,0.0
10,Artista_40,0.03125,0.0
10,Artista_61,0.015625,0.0
10,Artista_80,0.015625,0.0
11,Artista_0,0.015625,0.0
11,Artista_20,0.03125,0.0
11,Artista_40,0.015625,0.0
11,Artista_61,0.015625,0.0
11,Artista_80,0.015625,0.0
12,Artista_0,0.015625,0.0
12,Artista_20,0.015625,0.0
12,Artista_40,0.03125,0.0
12,Artista_61,0.015625,0.0
12,Artista_80,0.015625,0.015625
13,Artista_0,0.0,0.0
13,Artista_20,0.03125,0.0
13,Artista_40,0.015625,0.0
13,Artista_61,0.015625,0.0
13,Artista_80,0.015625,0.0
14,Artista_0,0.015625,0.0
14,Artista_20,0.015625,0.0
14,Artista_40,0.03125,0.0
14,Artista_61,0.015625,0.0
14,Artista_80,0.015625,0.0
15,Artista_0,0.015625,0.0
15,Artista_20,0.03125,0.0
15,Artista_40,0.015625,0.0
15,Artista_61,0.03125,0.0
15,Artista_80,0.015625,0.0
16,Artista_0,0.015625,0.0
16,Artista_20,0.015625,0.0
16,Artista_40,0.03125,0.0
16,Artista_61,0.015625,0.0
16,Artista_80,0.015625,0.015625
17,Artista_0,0.0,0.0
17,Artista_20,0.03125,0.0
17,Artista_40,0.015625,0.0
17,Artista_61,0.03125,0.0
17,Artista_80,0.015625,0.0
18,Artista_0,0.015625,0.0
18,Artista_20,0.015625,0.0
18,Artista_40,0.03125,0.0
18,Artista_61,0.015625,0.0
18,Artista_80,0.015625,0.0
19,Artista_0,0.015625,0.0
19,Artista_20,0.015625,0.0
19,Artista_40,0.03125,0.0
19,Artista_61,0.015625,0.0
19,Artista_80,0.015625,0.0
20,Artista_0,0.015625,0.0
20,Artista_20,0.03125,0.0
20,Artista_40,0.015625,0.0
20,Artista_61,0.03125,0.0
20,Artista_80,0.015625,0.0
21,Artista_0,0.015625,0.0
21,Artista_20,0.015625,0.0
21,Artista_40,0.03125,0.0
21,Artista_61,0.015625,0.0
21,Artista_80,0.015625,0.0
22,Artista_0,0.015625,0.0
22,Artista_20,0.03125,0.0
22,Artista_40,0.015625,0.0
22,Artista_61,0.03125,0.0
22,Artista_80,0.015625,0.0
23,Artista_0,0.015625,0.0
23,Artista_20,0.015625,0.0
23,Artista_40,0.015625,0.0
23,Artista_61,0.015625,0.0
23,Artista_80,0.03125,0.0
24,Artista_0,0.015625,0.0
24,Artista_20,0.015625,0.0
24,Artista_40,0.015625,0.0
24,Artista_61,0.03125,0.0
24,Artista_80,0.015625,0.0
25,Artista_0,0.015625,0.0
25,Artista_20,0.015625,0.0
25,Artista_40,0.03125,0.0
25,Artista_61,0.015625,0.0
25,Artista_80,0.03125,0.0
26,Artista_0,0.0,0.0
26,Artista_20,0.03125,0.0
26,Artista_40,0.015625,0.0
26,Artista_61,0.03125,0.0
26,Artista_80,0.015625,0.0
27,Artista_0,0.015625,0.0
27,Artista_20,0.015625,0.0
27,Artista_40,0.03125,0.0
27,Artista_61,0.015625,0.0
27,Artista_80,0.015625,0.015625
28,Artista_0,0.0,0.0
28,Artista_20,0.015625,0.0
28,Artista_40,0.015625,0.0
28,Artista_61,0.03125,0.0
28,Artista_80,0.015625,0.0
29,Artista_0,0.015625,0.0
29,Artista_20,0.03125,0.0
29,Artista_40,0.015625,0.0
29,Artista_61,0.03125,0.0
29,Artista_80,0.015625,0.0
30,Artista_0,0.015625,0.0
30,Artista_20,0.015625,0.0
30,Artista_40,0.03125,0.0
30,Artista_61,0.015625,0.0
30,Artista_80,0.015625,0.0
31,Artista_0,0.0,0.0
31,Artista_20,0.015625,0.0
31,Artista_40,0.015625,0.0
31,Artista_61,0.03125,0.0
31,Artista_80,0.015625,0.0
32,Artista_0,0.015625,0.0
32,Artista_20,0.015625,0.0
32,Artista_40,0.03125,0.0
32,Artista_61,0.015625,0.0
32,Artista_80,0.015625,0.0
33,Artista_0,0.015625,0.0
33,Artista_20,0.03125,0.0
33,Artista_40,0.015625,0.0
33,Artista_61,0.03125,0.0
33,Artista_80,0.015625,0.0
34,Artista_0,0.015625,0.0
34,Artista_20,0.015625,0.0
34,Artista_40,0.03125,0.0
34,Artista_61,0.015625,0.0
34,Artista_80,0.03125,0.0
35,Artista_0,0.0,0.0
35,Artista_20,0.015625,0.0
35,Artista_40,0.015625,0.0
35,Artista_61,0.03125,0.0
