instancia,artista,t_lineal,t_binaria
0,Artista_0,0.015625,0.0
0,Artista_5,0.015625,0.0
0,Artista_10,0.015625,0.0
0,Artista_15,0.0,0.0
0,Artista_19,0.0,0.015625
1,Artista_0,0.0,0.0
1,Artista_5,0.0,0.0
1,Artista_10,0.015625,0.0
1,Artista_15,0.0,0.0
1,Artista_19,0.0,0.015625
2,Artista_0,0.0,0.0
2,Artista_5,0.0,0.0
2,Artista_10,0.0,0.0
2,Artista_15,0.0,0.0
2,Artista_19,0.0,0.0
3,Artista_0,0.0,0.015625
3,Artista_5,0.0,0.0
3,Artista_10,0.0,0.0
3,Artista_15,0.0,0.0
3,Artista_19,0.015625,0.0
4,Artista_0,0.0,0.0
4,Artista_5,0.0,0.0
4,Artista_10,0.015625,0.0
4,Artista_15,0.0,0.0
4,Artista_19,0.0,0.0
5,Artista_0,0.015625,0.0
5,Artista_5,0.0,0.0
5,Artista_10,0.0,0.0
5,Artista_15,0.015625,0.0
5,Artista_19,0.0,0.0
6,Artista_0,0.0,0.0
6,Artista_5,0.015625,0.0
6,Artista_10,0.0,0.0
6,Artista_15,0.0,0.015625
6,Artista_19,0.0,0.0
7,Artista_0,0.0,0.0
7,Artista_5,0.0,0.0
7,Artista_10,0.015625,0.0
7,Artista_15,0.0,0.0
7,Artista_19,0.0,0.0
8,Artista_0,0.015625,0.0
8,Artista_5,0.0,0.0
8,Artista_10,0.0,0.0
8,Artista_15,0.015625,0.0
8,Artista_19,0.0,0.0
9,Artista_0,0.0,0.0
9,Artista_5,0.015625,0.0
9,Artista_10,0.0,0.0
9,Artista_15,0.0,0.0
9,Artista_19,0.0,0.0
10,Artista_0,0.015625,0.0
10,Artista_5,0.0,0.0
10,Artista_10,0.0,0.0
10,Artista_15,0.015625,0.0
10,Artista_19,0.0,0.0
11,Artista_0,0.0,0.0
11,Artista_5,0.015625,0.0
11,Artista_10,0.0,0.0
11,Artista_15,0.0,0.0
11,Artista_19,0.015625,0.0
12,Artista_0,0.0,0.0
12,Artista_5,0.0,0.0
12,Artista_10,0.0,0.0
12,Artista_15,0.015625,0.0
12,Artista_19,0.0,0.0
13,Artista_0,0.015625,0.0
13,Artista_5,0.0,0.0
13,Artista_10,0.0,0.0
13,Artista_15,0.0,0.015625
13,Artista_19,0.0,0.0
14,Artista_0,0.0,0.0
14,Artista_5,0.0,0.0
14,Artista_10,0.015625,0.0
14,Artista_15,0.0,0.0
14,Artista_19,0.0,0.0
15,Artista_0,0.015625,0.0
15,Artista_5,0.0,0.0
15,Artista_10,0.0,0.015625
15,Artista_15,0.0,0.0
15,Artista_19,0.0,0.0
16,Artista_0,0.0,0.0
16,Artista_5,0.015625,0.0
16,Artista_10,0.0,0.0
16,Artista_15,0.0,0.0
16,Artista_19,0.015625,0.0
17,Artista_0,0.0,0.0
17,Artista_5,0.0,0.0
17,Artista_10,0.015625,0.0
17,Artista_15,0.0,0.0
17,Artista_19,0.0,0.0
18,Artista_0,0.015625,0.0
18,Artista_5,0.0,0.0
18,Artista_10,0.0,0.0
18,Artista_15,0.015625,0.0
18,Artista_19,0.0,0.0
19,Artista_0,0.0,0.0
19,Artista_5,0.0,0.0
19,Artista_10,0.0,0.0
19,Artista_15,0.0,0.0
19,Artista_19,0.0,0.0
20,Artista_0,0.0,0.0
20,Artista_5,0.0,0.0
20,Artista_10,0.0,0.0
20,Artista_15,0.015625,0.0
20,Artista_19,0.0,0.0
21,Artista_0,0.0,0.0
21,Artista_5,0.015625,0.0
21,Artista_10,0.0,0.0
21,Artista_15,0.0,0.0
21,Artista_19,0.015625,0.0
22,Artista_0,0.0,0.0
22,Artista_5,0.0,0.0
22,Artista_10,0.015625,0.0
22,Artista_15,0.0,0.0
22,Artista_19,0.0,0.0
23,Artista_0,0.015625,0.0
23,Artista_5,0.0,0.0
23,Artista_10,0.0,0.0
23,Artista_15,0.015625,0.0
23,Artista_19,0.0,0.0
24,Artista_0,0.0,0.0
24,Artista_5,0.0,0.0
24,Artista_10,0.0,0.0
24,Artista_15,0.0,0.0
24,Artista_19,0.015625,0.0
25,Artista_0,0.0,0.0
25,Artista_5,0.0,0.0
25,Artista_10,0.015625,0.0
25,Artista_15,0.0,0.0
25,Artista_19,0.0,0.0
26,Artista_0,0.015625,0.0
26,Artista_5,0.0,0.0
26,Artista_10,0.0,0.0
26,Artista_15,0.015625,0.0
26,Artista_19,0.0,0.0
27,Artista_0,0.0,0.0
27,Artista_5,0.0,0.015625
27,Artista_10,0.0,0.0
27,Artista_15,0.0,0.0
27,Artista_19,0.0,0.0
28,Artista_0,0.015625,0.0
28,Artista_5,0.0,0.0
