instancia,insertionSort,selectionSort,mergeSort,quickSort
0,1.78125,1.96875,0.015625,0.0
1,2.25,2.015625,0.0,0.015625
2,1.9375,2.578125,0.0,0.0
3,1.84375,1.65625,0.0,0.0
4,1.78125,1.6875,0.0,0.015625
5,1.96875,2.09375,0.015625,0.0
6,2.15625,2.046875,0.0,0.015625
7,1.875,1.8125,0.0,0.015625
8,2.046875,2.203125,0.0,0.0
9,2.203125,2.1875,0.015625,0.0
10,1.75,1.59375,0.0,0.015625
11,1.84375,1.78125,0.0,0.015625
12,1.828125,1.890625,0.015625,0.0
13,1.8125,1.734375,0.015625,0.0
14,3.65625,2.28125,0.0,0.015625
15,3.59375,2.796875,0.015625,0.0
16,5.25,1.734375,0.0,0.015625
17,2.640625,2.46875,0.0,0.015625
18,2.171875,2.515625,0.0,0.015625
19,1.828125,1.703125,0.0,0.015625
20,2.1875,1.734375,0.015625,0.0
21,2.234375,2.3125,0.0,0.015625
22,2.125,2.5625,0.0,0.0
23,2.40625,2.171875,0.015625,0.0
24,2.328125,2.984375,0.0,0.0
25,4.46875,3.296875,0.0,0.0
26,1.765625,1.984375,0.015625,0.0
27,2.109375,2.53125,0.015625,0.0
28,2.28125,2.046875,0.0,0.0
29,1.953125,1.890625,0.0,0.015625
30,1.828125,1.640625,0.015625,0.0
31,1.734375,1.703125,0.0,0.015625
32,2.15625,1.734375,0.015625,0.0
33,2.234375,1.953125,0.0,0.015625
34,1.796875,2.296875,0.0,0.0
35,1.796875,2.09375,0.015625,0.03125
36,3.296875,1.71875,0.0,0.015625
37,2.734375,2.171875,0.015625,0.0
38,2.078125,2.25,0.0,0.015625
39,1.796875,1.875,0.0,0.015625
40,2.875,2.140625,0.0,0.0
41,3.59375,3.140625,0.015625,0.0
42,1.859375,1.609375,0.015625,0.0
43,1.828125,1.75,0.015625,0.0
44,1.84375,1.796875,0.0,0.015625
45,1.828125,1.796875,0.0,0.0
46,1.78125,1.625,0.0,0.0
47,1.765625,1.6875,0.015625,0.0
48,1.71875,1.625,0.015625,0.0
49,2.609375,2.46875,0.015625,0.0
50,1.796875,2.046875,0.0,0.015625
51,1.765625,1.84375,0.0,0.015625
52,1.734375,1.65625,0.015625,0.0
53,1.859375,1.671875,0.0,0.0
54,1.78125,2.03125,0.0,0.015625
55,1.859375,1.875,0.015625,0.0
56,2.125,2.015625,0.0,0.0
57,3.53125,3.640625,0.015625,0.0
58,1.828125,1.75,0.015625,0.0
59,1.828125,1.71875,0.0,0.0
60,1.859375,1.796875,0.015625,0.0
61,1.90625,1.90625,0.0,0.0
62,1.765625,1.625,0.015625,0.0
63,1.796875,1.625,0.0,0.0
64,1.765625,1.640625,0.0,0.0
65,1.796875,1.6875,0.0,0.0
66,2.0625,2.28125,0.0,0.0
67,1.859375,1.65625,0.015625,0.0
68,1.703125,1.671875,0.0,0.015625
69,1.8125,2.109375,0.015625,0.0
70,1.890625,2.296875,0.015625,0.0
71,2.0625,1.921875,0.0,0.0
72,2.03125,1.875,0.015625,0.0
73,3.578125,3.125,0.015625,0.0
74,1.796875,1.625,0.015625,0.0
75,1.890625,1.75,0.0,0.015625
76,1.90625,1.78125,0.015625,0.0
77,1.84375,2.0,0.015625,0.0
78,1.75,1.59375,0.0,0.0
79,1.703125,1.65625,0.015625,0.0
80,1.8125,1.71875,0.0,0.0
81,3.0625,2.75,0.0,0.015625
82,1.78125,2.21875,0.015625,0.0
83,1.78125,2.046875,0.015625,0.0
84,1.75,1.625,0.0,0.015625
85,1.796875,1.75,0.015625,0.0
86,1.859375,2.078125,0.0,0.015625
87,1.890625,1.84375,0.0,0.0
88,2.328125,2.109375,0.0,0.0
89,3.0,2.765625,0.0,0.015625
90,1.8125,1.609375,0.0,0.015625
91,1.8125,1.796875,0.015625,0.0
92,1.8125,1.78125,0.0,0.015625
93,1.828125,1.875,0.0,0.0
94,1.765625,1.625,0.0,0.0
95,1.734375,1.65625,0.0,0.015625
96,1.75,1.65625,0.015625,0.0
97,2.0,1.921875,0.0,0.015625
98,1.71875,1.859375,0.0,0.0
99,1.78125,2.0,0.0,0.0
